vehicle,purpose,flow_group,prop
car,business,1,0.103
car,commute,1,0.422
car,other,1,0.475
lgv,business,1,0.503
lgv,commute,1,0.351
lgv,other,1,0.146
ogv1,business,1,0.813
ogv1,commute,1,0.111
ogv1,other,1,0.075
ogv2,business,1,0.869
ogv2,commute,1,0.078
ogv2,other,1,0.053
psv,business,1,0.102
psv,commute,1,0.189
psv,other,1,0.708
car,business,2,0.169
car,commute,2,0.367
car,other,2,0.464
lgv,business,2,0.503
lgv,commute,2,0.351
lgv,other,2,0.146
ogv1,business,2,0.813
ogv1,commute,2,0.111
ogv1,other,2,0.075
ogv2,business,2,0.869
ogv2,commute,2,0.078
ogv2,other,2,0.053
psv,business,2,0.102
psv,commute,2,0.189
psv,other,2,0.708
car,business,3,0.133
car,commute,3,0.442
car,other,3,0.425
lgv,business,3,0.413
lgv,commute,3,0.452
lgv,other,3,0.135
ogv1,business,3,0.766
ogv1,commute,3,0.161
ogv1,other,3,0.072
ogv2,business,3,0.825
ogv2,commute,3,0.117
ogv2,other,3,0.058
psv,business,3,0.102
psv,commute,3,0.189
psv,other,3,0.708
car,business,4,0.12
car,commute,4,0.429
car,other,4,0.451
lgv,business,4,0.402
lgv,commute,4,0.451
lgv,other,4,0.147
ogv1,business,4,0.756
ogv1,commute,4,0.17
ogv1,other,4,0.074
ogv2,business,4,0.797
ogv2,commute,4,0.132
ogv2,other,4,0.072
psv,business,4,0.102
psv,commute,4,0.189
psv,other,4,0.708
car,business,6,0.045
car,commute,6,0.242
car,other,6,0.713
lgv,business,6,0.503
lgv,commute,6,0.351
lgv,other,6,0.146
ogv1,business,6,0.813
ogv1,commute,6,0.111
ogv1,other,6,0.075
ogv2,business,6,0.869
ogv2,commute,6,0.078
ogv2,other,6,0.053
psv,business,6,0.102
psv,commute,6,0.189
psv,other,6,0.708
car,business,7,0.018
car,commute,7,0.079
car,other,7,0.903
lgv,business,7,0.503
lgv,commute,7,0.351
lgv,other,7,0.146
ogv1,business,7,0.813
ogv1,commute,7,0.111
ogv1,other,7,0.075
ogv2,business,7,0.869
ogv2,commute,7,0.078
ogv2,other,7,0.053
psv,business,7,0.102
psv,commute,7,0.189
psv,other,7,0.708
car,business,8,0.027
car,commute,8,0.065
car,other,8,0.909
lgv,business,8,0.503
lgv,commute,8,0.351
lgv,other,8,0.146
ogv1,business,8,0.813
ogv1,commute,8,0.111
ogv1,other,8,0.075
ogv2,business,8,0.869
ogv2,commute,8,0.078
ogv2,other,8,0.053
psv,business,8,0.102
psv,commute,8,0.189
psv,other,8,0.708
car,business,9,0.027
car,commute,9,0.065
car,other,9,0.909
lgv,business,9,0.503
lgv,commute,9,0.351
lgv,other,9,0.146
ogv1,business,9,0.813
ogv1,commute,9,0.111
ogv1,other,9,0.075
ogv2,business,9,0.869
ogv2,commute,9,0.078
ogv2,other,9,0.053
psv,business,9,0.102
psv,commute,9,0.189
psv,other,9,0.708
